name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White_population,Black_population,American_Indian_population,Asian_population,Hispanic_or_Latino_population,High_school_or_higher,Graduate_or_professional_degree,Unemployed,average_price,review_count_binned
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,2139,Cambridge,MA,$$,3.5,531,mideastern&musicvenues&bars,1,Full Bar,0,Street,1,0,0,Hipster,Casual,3,18,10,19,9,24,16,9,22,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,20,Meadium to Large Reviews
Boston Beer Works,42.3472099,-71.09913,2215,Boston,MA,$$,3.5,691,breweries&tradamerican&beerbar,1,Full Bar,0,Street,1,1,0,Casual,Casual,2,24,6,34,14,21,21,6,23,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,20,large Number of Reviews
Craigie On Main,42.3634818,-71.09861289,2139,Cambridge,MA,$$$$,4,1216,newamerican&french&bars,1,Full Bar,0,Valet& Garage& Street,0,1,0,Casual,Casual,2,16,8,17,8,31,15,9,17,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,60,Very Popular Resturant
Gyro City,42.34316228,-71.09899293,2215,Boston,MA,$,4,283,greek&mediterranean,1,No,1,Street,1,0,0,Casual,Casual,2,15,3,20,3,17,14,3,11,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,10,Medium No Reviews
Porcinis Italian Restaurant,42.36483,-71.1667,2472,Watertown,MA,$$,4,167,italian&seafood&mediterranean,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,4,1,3,1,7,1,3,7,0.76009197,0.026106697,0.000727611,0.067056666,0.049302948,0.961,0.311,0.044,20,Medium No Reviews
Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,2215,Boston,MA,$$$,4,1749,newamerican&lounges&breakfast_brunch,1,Full Bar,1,Valet& Street,1,1,0,Classy,Casual,2,18,4,26,11,16,8,8,20,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,45,Very Popular Resturant
Cuchi Cuchi,42.36334,-71.09713,2139,Cambridge,MA,$$$,4,1066,tapasmallplates&wine_bars&cocktailbars,1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,12,5,17,5,23,13,10,20,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,45,Very Popular Resturant
Island Creek Oyster Bar,42.34868224,-71.09511845,2215,Boston,MA,$$$,4.5,2486,seafood&bars,1,Full Bar,0,Valet& Street,0,1,0,Trendy,Casual,2,16,4,27,6,14,8,8,24,0.674716589,0.039477886,0.001157592,0.206929586,0.084863484,0.982,0.471,0.074,45,Very Popular Resturant
Trattoria Pulcinella,42.3827371,-71.13073979,2138,Cambridge,MA,$$$,3,47,italian,1,Beer & Wine Only,1,Street,1,1,0,Romantic,Casual,4,3,1,1,3,10,2,1,7,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,45,Small No Reviews
Bondir Cambridge,42.3682904,-71.0977689,2139,Cambridge,MA,$$$$,4,313,newamerican,1,Beer & Wine Only,0,Street,1,1,0,Intimate,Casual,4,2,1,2,8,24,5,5,19,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,60,Meadium to Large Reviews
Giulia,42.38251,-71.1200999,2138,Cambridge,MA,$$$,4.5,393,italian,1,Full Bar,0,Street,0,1,0,Intimate,Casual,2,3,1,4,6,4,3,2,21,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,45,Meadium to Large Reviews
Temple Bar,42.38273,-71.12006,2138,Cambridge,MA,$$,3.5,487,newamerican&bars,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,4,1,4,6,4,4,2,20,0.663173573,0.060056386,0.001489441,0.143225703,0.059710623,1.001,0.561,0.039,20,Meadium to Large Reviews
The Kirkland Tap & Trotter,42.378255,-71.106949,2143,Somerville,MA,$$$,3.5,422,newamerican,1,Full Bar,0,Street,1,1,0,Hipster,Casual,2,3,6,4,19,24,3,2,12,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,45,Meadium to Large Reviews
Oleana Restaurant,42.37055,-71.09713,2139,Cambridge,MA,$$$,4.5,1366,mediterranean,1,Beer & Wine Only,1,Street,0,1,0,Romantic,Casual,2,8,2,9,8,33,6,7,19,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,45,Very Popular Resturant
Deuxave,42.349521,-71.089166,2115,Boston,MA,$$$,4,479,newamerican&bars,1,Full Bar,1,Valet,0,1,0,Upscale,Dressy,2,13,2,23,28,14,20,12,27,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,45,Meadium to Large Reviews
Midwest Grill Brazilian BBQ,42.37285302,-71.09603,2139,Cambridge,MA,$$,3,360,steak&brazilian&bbq,1,Full Bar,0,Street,1,1,0,Casual,Casual,2,10,2,13,7,28,6,4,13,0.568382213,0.133807211,0.001627825,0.155647196,0.082232291,0.957,0.449,0.035,20,Meadium to Large Reviews
Woody's Grill and Tap,42.344859,-71.089571,2115,Boston,MA,$$,4,257,bars&tradamerican&pizza,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,19,4,12,8,18,24,10,30,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,20,Medium No Reviews
Shaking Crab - Cambridge,42.38729,-71.11839,2140,Cambridge,MA,$$,3.5,85,seafood&cajun,1,Full Bar,1,Street& Private Lot,1,1,0,Hipster& Casual& Trendy,Casual,2,13,4,5,12,18,8,7,16,0.51772693,0.156399296,0.001257229,0.118783002,0.056675886,0.952,0.433,0.049,20,Small No Reviews
Pho Basil,42.34576797,-71.08737183,2115,Boston,MA,$$,4,1017,vietnamese&thai&seafood,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,28,10,22,28,18,38,14,31,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,20,Very Popular Resturant
Cafe Mami,42.38743289,-71.11869726,2140,Cambridge,MA,$,4,469,japanese&salad&steak,0,No,0,Street& Private Lot,1,0,0,Casual,Casual,2,13,4,6,12,19,8,6,16,0.51772693,0.156399296,0.001257229,0.118783002,0.056675886,0.952,0.433,0.049,10,Meadium to Large Reviews
Summer Shack-Boston,42.347067,-71.085658,2115,Boston,MA,$$,3.5,776,seafood&bars&tradamerican,1,Full Bar,0,Garage& Street& Validated,1,1,0,Casual,Casual,2,38,15,31,48,16,43,19,31,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,20,large Number of Reviews
Boston Shawarma,42.34111,-71.08778,2115,Boston,MA,$,4,357,mideastern&halal&mediterranean,1,No,0,Street,1,0,0,Casual,Casual,2,18,3,7,7,11,20,2,22,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,10,Meadium to Large Reviews
The Capital Grille,42.347811,-71.08511109,2115,Boston,MA,$$$$,4.5,830,steak&seafood&wine_bars,1,Full Bar,1,Valet& Garage& Street,0,1,0,Classy& Upscale,Dressy,2,38,16,36,57,16,42,19,29,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,60,large Number of Reviews
Select Oyster Bar,42.34861,-71.08411,2115,Boston,MA,$$$,3.5,293,seafood&bars,1,Full Bar,1,Street,0,1,0,Trendy,Casual,2,32,16,41,60,15,44,19,30,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,45,Medium No Reviews
Towne Stove and Spirits,42.3482841,-71.0834741,2115,Boston,MA,$$$,3,579,newamerican&breakfast_brunch,1,Full Bar,1,Validated,1,1,0,Trendy,Dressy,2,33,16,40,60,14,46,19,29,0.626382226,0.074410534,0.001394985,0.143649416,0.095131163,0.915,0.359,0.09,45,Meadium to Large Reviews
Buk Kyung,42.3794757,-71.0955337,2143,Somerville,MA,$$,3.5,239,korean&seafood,1,No,0,Street& Private Lot,1,1,0,Casual,Casual,2,7,2,12,10,34,8,6,14,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,20,Medium No Reviews
The Independent,42.379665,-71.094874,2143,Somerville,MA,$$,3.5,399,bars&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,7,2,12,10,34,9,6,15,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,20,Meadium to Large Reviews
Top of the Hub,42.34856613,-71.08228754,2199,Boston,MA,$$$,3.5,2019,newamerican&wine_bars,1,Full Bar,0,Garage,0,1,0,Classy& Upscale,Dressy,2,38,17,39,60,14,43,20,30,0.731611894,0.011737089,0.000782473,0.111893584,0.027386541,1.02,0.452,0.035,45,Very Popular Resturant
Canary Square,42.31977,-71.11197,2130,Jamaica Plain,MA,$$,3,527,newamerican&breakfast_brunch&burgers,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,7,2,5,9,13,1,1,8,0.506757943,0.106647609,0.001479475,0.045688207,0.200180546,0.941,0.358,0.045,20,Meadium to Large Reviews
Casa B Tapas and Cocktail & Rum Bar,42.3797093,-71.0942732,2143,Somerville,MA,$$$,4,258,caribbean&tapasmallplates&cocktailbars,1,Full Bar,0,Street,0,1,0,Casual,Casual,2,7,2,11,8,34,9,6,15,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,45,Medium No Reviews
Piattini,42.34969,-71.08122,2116,Boston,MA,$$,4,740,italian&bars&salad,1,Full Bar,1,Street,1,1,0,Intimate,Casual,2,40,21,39,60,14,39,24,33,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,large Number of Reviews
The Cheesecake Factory,42.345868,-71.081993,2199,Boston,MA,$$,3,602,newamerican&desserts,1,Full Bar,1,Garage,1,1,0,Casual,Casual,2,38,16,38,60,13,50,17,22,0.731611894,0.011737089,0.000782473,0.111893584,0.027386541,1.02,0.452,0.035,20,large Number of Reviews
Atlantic Fish,42.34922179,-71.08112729,2116,Boston,MA,$$$,4,2251,seafood&raw_food&cocktailbars,1,Full Bar,1,Valet& Street,1,1,0,Classy,Casual,2,43,23,39,60,16,43,23,34,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,Very Popular Resturant
Demos,42.3663721,-71.1821673,2472,Watertown,MA,$,3.5,94,mediterranean&greek,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,13,9,3,18,16,4,6,14,0.76009197,0.026106697,0.000727611,0.067056666,0.049302948,0.961,0.311,0.044,10,Small No Reviews
Lucca Back Bay,42.3465561,-71.0799281,2116,Boston,MA,$$$,4,300,italian&wine_bars,1,Full Bar,1,Valet& Garage,1,1,0,Romantic,Dressy,2,42,18,39,60,17,40,17,25,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,Medium No Reviews
SRV Boston,42.340918,-71.08161505,2118,Boston,MA,$$$,4.5,306,italian&wine_bars,1,Full Bar,1,Street,0,1,0,Trendy,Dressy,2,10,2,11,24,25,15,3,16,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,45,Meadium to Large Reviews
Lemon Thai Cuisine,42.39025,-71.10767,2143,Somerville,MA,$$,4,296,thai&seafood&soup,1,No,0,Street,1,0,0,Casual,Casual,2,2,1,1,6,13,3,2,7,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,20,Medium No Reviews
Social Restaurant & Bar,42.356596,-71.1868268,2458,Newton,MA,$$,3.5,150,newamerican&bars&breakfast_brunch,1,Full Bar,0,Garage& Street& Validated,1,1,0,Casual,Casual,2,5,1,2,5,15,3,6,6,0.743870671,0.021069568,0.000996016,0.097609562,0.040760037,0.978,0.425,0.033,20,Small No Reviews
Max and Leo's,42.3569993,-71.1868365,2458,Newton,MA,$$,4.5,337,pizza&bars,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,5,1,2,5,15,3,6,6,0.743870671,0.021069568,0.000996016,0.097609562,0.040760037,0.978,0.425,0.033,20,Meadium to Large Reviews
House of Siam,42.34141,-71.08033,2118,Boston,MA,$$,3.5,176,thai&seafood,1,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,4,7,1,8,28,23,13,2,17,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,20,Medium No Reviews
Sorellina,42.34883672,-71.07790366,2116,Boston,MA,$$$$,4,637,italian&bars&salad,1,Full Bar,0,Valet& Street,0,1,0,Classy& Upscale,Dressy,2,52,31,41,60,19,35,26,27,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,60,large Number of Reviews
Lolita Cocina & Tequila Bar Back Bay,42.35058604,-71.07750847,2116,Boston,MA,$$,4,1778,mexican&lounges&cocktailbars,1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,45,29,36,60,16,33,30,31,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Very Popular Resturant
Fogo de ChÃƒÂ£o Brazilian Steakhouse,42.34880756,-71.0771622,2116,Boston,MA,$$$,4,648,brazilian&steak,1,Full Bar,0,Valet& Street,0,1,0,Classy,Casual,2,51,31,36,60,18,35,26,25,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,large Number of Reviews
Legal Sea Foods,42.34690284,-71.07746634,2116,Boston,MA,$$$,3.5,505,seafood,1,Full Bar,0,Garage& Street& Validated,1,1,0,Casual,Casual,2,44,24,34,60,18,33,21,24,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,Meadium to Large Reviews
Thai Basil Restaurant,42.35092,-71.07669,2116,Boston,MA,$$,3.5,413,thai&seafood&noodles,1,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,2,40,26,32,60,17,32,33,31,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Meadium to Large Reviews
Redbones BBQ,42.39520645,-71.12236023,2144,Somerville,MA,$$,3.5,1664,bbq&bars&sandwiches,1,Full Bar,0,Street,1,1,0,Casual,Casual,3,19,11,15,19,24,10,5,10,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,Very Popular Resturant
Petit Robert Bistro,42.34283,-71.07858,2118,Boston,MA,$$,3.5,374,french&breakfast_brunch&wine_bars,1,Full Bar,1,Valet& Street,1,1,0,Casual,Casual,2,14,4,17,25,27,15,5,16,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,20,Meadium to Large Reviews
Legal Sea Foods,42.32257,-71.17038,2467,Chestnut Hill,MA,$$$,3,233,seafood,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,10,6,5,6,2,3,6,1,0.735020569,0.038544089,0.000402432,0.148855303,0.055625112,1,0.534,0.031,45,Medium No Reviews
Giacomo's,42.34406,-71.077732,2116,Boston,MA,$$,4,1126,italian&seafood&wine_bars,0,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,3,18,9,20,19,24,19,9,13,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Very Popular Resturant
Anchovies,42.343939,-71.077598,2116,Boston,MA,$$,4,349,italian&bars&salad,1,Full Bar,0,Street,1,0,0,Divey& Casual,Casual,2,15,8,20,18,25,18,7,11,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Meadium to Large Reviews
Gaya Pizzeria,42.38452,-71.09302,2143,Somerville,MA,$,4.5,56,pizza&italian,1,No,0,Street,1,0,0,Casual,Casual,4,14,6,12,2,24,1,3,3,0.657335197,0.043996469,0.00110359,0.090494408,0.069121542,0.931,0.339,0.033,10,Small No Reviews
Foundry on Elm,42.39564,-71.12166,2144,Somerville,MA,$$,3.5,726,bars&gastropubs&newamerican,1,Full Bar,0,Street,1,1,0,Trendy,Casual,2,18,10,14,14,25,10,5,11,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,large Number of Reviews
Greek Corner Restaurant,42.39648943,-71.12948206,2140,Cambridge,MA,$$,4,600,greek&mediterranean,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,4,2,3,7,14,3,1,9,0.51772693,0.156399296,0.001257229,0.118783002,0.056675886,0.952,0.433,0.049,20,Meadium to Large Reviews
Five Horses Tavern,42.39567,-71.1208599,2144,Somerville,MA,$$,3.5,695,beerbar&newamerican&tacos,1,Full Bar,1,Street,1,1,0,Casual,Casual,3,17,9,14,13,19,10,5,10,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,large Number of Reviews
Davio's Chestnut Hill,42.32251399,-71.17025011,2467,Chestnut Hill,MA,$$$,3.5,107,italian&steak&gluten_free,1,Full Bar,0,Valet& Private Lot,1,1,0,Upscale,Casual,2,10,6,5,6,2,3,6,1,0.735020569,0.038544089,0.000402432,0.148855303,0.055625112,1,0.534,0.031,45,Small No Reviews
The Talk,42.36699,-71.18738,2472,Watertown,MA,$$,3.5,278,tradamerican&italian,1,Full Bar,0,Street,1,1,0,Casual,Casual,2,11,7,2,19,16,3,8,8,0.76009197,0.026106697,0.000727611,0.067056666,0.049302948,0.961,0.311,0.044,20,Medium No Reviews
Post 390,42.34886388,-71.0740035,2116,Boston,MA,$$$,3.5,614,bars&newamerican,1,Full Bar,0,Garage& Street& Validated,0,1,0,Trendy,Casual,2,36,25,34,60,25,32,34,27,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,large Number of Reviews
The Table at Season to Taste,42.3983409,-71.1310318,2140,Cambridge,MA,$$$$,4.5,154,newamerican,1,Beer & Wine Only,0,Street,0,1,0,Intimate,Casual,2,4,2,2,6,9,1,1,8,0.51772693,0.156399296,0.001257229,0.118783002,0.056675886,0.952,0.433,0.049,60,Medium No Reviews
The Brahmin,42.3484325,-71.0731806,2116,Boston,MA,$$,3,371,newamerican&cocktailbars,1,Full Bar,1,Valet& Garage& Street,1,1,0,Trendy,Dressy,3,40,25,36,60,29,27,33,33,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Meadium to Large Reviews
FiRE + iCE  Grill + Bar,42.35066,-71.07249,2116,Boston,MA,$$,3,621,mongolian&tradamerican&cocktailbars,1,Full Bar,0,Garage& Street,0,1,0,Casual,Casual,3,36,23,29,60,26,25,30,33,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,large Number of Reviews
Mistral,42.34815783,-71.07275914,2116,Boston,MA,$$$$,4,895,french,1,Full Bar,0,Valet& Street,1,1,0,Classy& Upscale,Dressy,2,44,28,40,60,30,24,33,30,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,60,large Number of Reviews
Delux CafÃƒÂ©,42.34628,-71.07289,2116,Boston,MA,$$,4,295,bars&tradamerican,0,Full Bar,0,Street,1,0,0,Divey& Hipster& Casual,Casual,2,28,16,36,12,30,17,12,18,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Medium No Reviews
Grill 23 & Bar,42.34942187,-71.07205006,2116,Boston,MA,$$$$,4,913,seafood&steak&wine_bars,1,Full Bar,0,Valet& Street,0,1,0,Classy& Upscale,Dressy,2,38,23,34,60,29,26,32,26,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,60,large Number of Reviews
Toro,42.33696319,-71.07589408,2118,Boston,MA,$$$,4,1932,tapas&spanish&cocktailbars,1,Full Bar,1,Valet& Street,1,0,0,Trendy,Casual,3,13,3,5,11,38,8,7,17,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,45,Very Popular Resturant
75 Chestnut,42.35695,-71.07097,2108,Boston,MA,$$,4,431,newamerican&diners&steak,1,Full Bar,0,Valet& Garage& Street,1,1,0,Intimate,Casual,2,7,3,8,19,2,9,5,8,0.825176528,0.023374726,0.001217434,0.033844655,0.033114195,1.016,0.44,0.042,20,Meadium to Large Reviews
Stephi's on Tremont,42.3436382,-71.07257,2118,Boston,MA,$$,3.5,459,newamerican&comfortfood&bars,1,Full Bar,1,Street,1,1,0,Trendy,Casual,2,16,8,24,22,29,9,6,16,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,20,Meadium to Large Reviews
Da Vinci,42.3493148,-71.07076,2116,Boston,MA,$$$,4.5,391,italian,1,Full Bar,1,Valet& Street,1,1,0,Romantic& Classy,Dressy,2,33,21,35,43,31,26,29,32,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,Meadium to Large Reviews
The Paramount,42.357291,-71.070088,2114,Boston,MA,$$,4,1458,breakfast_brunch&newamerican&sandwiches,1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,11,4,8,15,2,8,6,9,0.681656177,0.060969136,0.000909987,0.08826875,0.059376659,0.984,0.47,0.035,20,Very Popular Resturant
The Butcher Shop,42.34376,-71.071454,2118,Boston,MA,$$$,4,481,steak&butcher&modern_european,1,Beer & Wine Only,0,Valet& Street,1,1,0,Trendy,Casual,2,17,9,28,22,32,11,9,17,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,45,Meadium to Large Reviews
Toscano Restaurant,42.35740838,-71.06984731,2114,Boston,MA,$$$,4,456,italian,1,Full Bar,0,Street,1,1,0,Classy,Dressy,2,11,5,8,15,2,9,6,9,0.681656177,0.060969136,0.000909987,0.08826875,0.059376659,0.984,0.47,0.035,45,Meadium to Large Reviews
Bin 26 Enoteca,42.35679973,-71.06978416,2114,Boston,MA,$$$,3.5,243,italian&wine_bars,1,Beer & Wine Only,0,Valet& Street,1,1,0,Classy,Casual,2,10,4,8,18,2,9,6,8,0.681656177,0.060969136,0.000909987,0.08826875,0.059376659,0.984,0.47,0.035,45,Medium No Reviews
B&G Oysters,42.34388,-71.07123,2116,Boston,MA,$$$,4,952,seafood&wine_bars,1,Beer & Wine Only,1,Street,0,1,0,Casual,Casual,2,17,9,29,21,32,11,9,17,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,large Number of Reviews
CLINK.,42.362238,-71.070537,2114,Boston,MA,$$$,3,367,newamerican&lounges,1,Full Bar,0,Valet,0,1,0,Trendy,Dressy,2,12,4,10,15,18,8,5,8,0.681656177,0.060969136,0.000909987,0.08826875,0.059376659,0.984,0.47,0.035,45,Meadium to Large Reviews
Stella,42.33994,-71.0725,2118,Boston,MA,$$$,4,761,italian&wine_bars,1,Full Bar,1,Street,1,1,0,Trendy,Casual,2,10,7,17,17,34,9,9,22,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,45,large Number of Reviews
Barcelona Wine Bar South End,42.34493551,-71.07054364,2116,Boston,MA,$$,4.5,862,spanish&wine_bars&tapasmallplates,1,Full Bar,1,Street,1,1,0,Trendy,Casual,2,20,11,31,18,32,12,7,18,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,large Number of Reviews
Seasons 52,42.31979123,-71.17530795,2467,Chestnut Hill,MA,$$,3,289,newamerican&wine_bars&seafood,1,Full Bar,0,Valet,1,1,0,Casual,Casual,2,2,2,5,6,2,2,7,10,0.735020569,0.038544089,0.000402432,0.148855303,0.055625112,1,0.534,0.031,20,Medium No Reviews
MJ O'Connor's Irish Pub,42.35115977,-71.06891883,2116,Boston,MA,$$,3,220,tradamerican&irish_pubs,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,28,15,43,38,23,23,21,32,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,20,Medium No Reviews
Brio Tuscan Grille,42.31914,-71.17484,2467,Chestnut Hill,MA,$$,3,176,italian&bars,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,2,2,5,5,2,2,6,10,0.735020569,0.038544089,0.000402432,0.148855303,0.055625112,1,0.534,0.031,20,Medium No Reviews
Menotomy Grill & Tavern,42.40164086,-71.13676599,2474,Arlington,MA,$$,3.5,320,tradamerican&pubs,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,2,1,2,1,10,2,2,7,0.770024015,0.022743325,0.000565052,0.080343269,0.031395677,0.984,0.397,0.033,20,Meadium to Large Reviews
Fleming's Prime Steakhouse & Wine Bar - Boston,42.35069677,-71.0680538,2116,Boston,MA,$$$,4,622,wine_bars&steak&seafood,1,Full Bar,0,Valet& Garage& Street& Validated,1,1,0,Classy,Dressy,2,28,16,44,37,25,30,20,37,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,45,large Number of Reviews
Pescatore,42.39927205,-71.11146293,2144,Somerville,MA,$$,4,272,italian&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,1,6,1,3,10,3,1,5,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,Medium No Reviews
Noor Mediterranean Grill,42.400549,-71.117545,2144,Somerville,MA,$$,4.5,193,mediterranean&mideastern&salad,1,No,1,Street,1,0,0,Casual,Casual,2,2,6,2,3,21,4,2,7,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,Medium No Reviews
Sound Bites,42.39976501,-71.11243439,2144,Somerville,MA,$$,3.5,966,breakfast_brunch&mideastern&mediterranean,1,Full Bar,1,Street,1,0,0,Casual,Casual,2,3,6,2,3,15,4,1,5,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,large Number of Reviews
The Gallows,42.3413899,-71.07019,2118,Boston,MA,$$,4,796,burgers&bars&tradamerican,1,Full Bar,0,Valet& Street,1,1,0,Trendy,Casual,2,15,9,23,19,35,10,8,19,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,20,large Number of Reviews
Sabur,42.4021175,-71.1268009,2144,Somerville,MA,$$,4,231,mediterranean,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,6,1,3,6,17,2,2,12,0.780512366,0.046282124,0.00112785,0.062353984,0.045557077,0.96,0.362,0.035,20,Medium No Reviews
Tavern at the End of the World,42.38218,-71.07938,2129,Charlestown,MA,$$,4,198,pubs&newamerican,1,Full Bar,0,Street,1,0,0,Casual,Casual,2,2,6,2,19,10,2,3,6,0.670650301,0.041128338,0.000968992,0.071813092,0.085648148,0.926,0.293,0.031,20,Medium No Reviews
Coppa Enoteca,42.34346,-71.06873,2118,Boston,MA,$$$,4,777,italian&tapasmallplates,1,Beer & Wine Only,1,Street,1,1,0,Casual,Casual,2,17,9,27,16,31,10,8,19,0.432965075,0.181004989,0.001781896,0.128724163,0.176478974,0.849,0.32,0.047,45,large Number of Reviews
Ostra,42.35109512,-71.06709123,2116,Boston,MA,$$$$,4.5,361,seafood,1,Full Bar,0,Street,0,1,0,Upscale,Dressy,2,29,13,39,40,23,31,19,42,0.628208974,0.052929328,0.001028586,0.132601894,0.048643552,0.949,0.441,0.041,60,Meadium to Large Reviews
The Capital Grille,42.31921052,-71.17767522,2467,Chestnut Hill,MA,$$$$,4,259,steak&seafood&wine_bars,1,Full Bar,0,Valet& Private Lot,0,1,0,Classy,Dressy,2,4,2,4,8,3,2,6,1,0.735020569,0.038544089,0.000402432,0.148855303,0.055625112,1,0.534,0.031,60,Medium No Reviews
