name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White_population,Black_population,American_Indian_population,Asian_population,Hispanic_or_Latino_population,High_school_or_higher,Graduate_or_professional_degree,Unemployed,average_price,review_count_binned
Bonefish Grill,40.85937,-74.3386,7058,Pine Brook,NJ,$$,3.5,153,seafood&newamerican&cocktailbars,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.600726612,0.021980018,0.000181653,0.282288828,0.049772934,0.964,0.298,0.068,20,Medium No Reviews
Sol-Mar,40.7284166,-74.1524833,7105,Newark,NJ,$$,3.5,145,portuguese&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,24,14,18,35,18,8,2,13,0.349791224,0.074683173,0.000915684,0.005127829,0.358343711,0.627,0.036,0.067,20,Small No Reviews
Martini Grill,40.84685,-74.08334,7075,Wood-Ridge,NJ,$$$,3.5,135,italian&french&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.717082067,0.011550152,0.001094225,0.065410334,0.121580547,0.942,0.14,0.056,45,Small No Reviews
Fernandes Steak House,40.73272,-74.14004,7105,Newark,NJ,$$$,4,547,portuguese&steak&brazilian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,9,1,6,1,12,3,7,1,0.349791224,0.074683173,0.000915684,0.005127829,0.358343711,0.627,0.036,0.067,45,Meadium to Large Reviews
Just Grapes Lounge,40.8933928,-74.1159317,7407,Elmwood Park,NJ,$$,4,116,wine_bars&tapas,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.585467365,0.043284532,0.000930324,0.100621848,0.201586447,0.9,0.078,0.037,20,Small No Reviews
Justin's Ristorante II,40.8488083,-74.0809097,7075,Wood-Ridge,NJ,$$,4,53,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.717082067,0.011550152,0.001094225,0.065410334,0.121580547,0.942,0.14,0.056,20,Small No Reviews
Goodfellas Ristorante,40.88696,-74.10302,7026,Garfield,NJ,$$$,4,38,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.56341906,0.048964395,0.000500594,0.020712096,0.308334898,0.837,0.054,0.059,45,Small No Reviews
Allegro Seafood Grill,40.72383,-74.14804,7105,Newark,NJ,$$,3.5,104,seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,9,3,10,8,9,4,7,5,0.349791224,0.074683173,0.000915684,0.005127829,0.358343711,0.627,0.036,0.067,20,Small No Reviews
Houlihan's,40.849882,-74.076139,7604,Hasbrouck Heights,NJ,$$,3,112,bars&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.686752867,0.02382695,0.000569245,0.095063837,0.143124339,0.944,0.128,0.052,20,Small No Reviews
Al Dente Restaurant,40.89861,-74.11246,7407,Elmwood Park,NJ,$$,3.5,55,italian&venues&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.585467365,0.043284532,0.000930324,0.100621848,0.201586447,0.9,0.078,0.037,20,Small No Reviews
Redds Restaurant & Biergarten,40.817331,-74.065861,7072,Carlstadt,NJ,$$,3.5,109,tradamerican&sportsbars&beergardens,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.681523629,0.01928244,0.000790264,0.078868342,0.17449028,0.904,0.14,0.053,20,Small No Reviews
Ted's Bar and Grill,40.7128647,-74.1664299,7114,Newark,NJ,$$,2.5,30,tradamerican&sportsbars&lounges,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,1,6,12,19,2,10,7,10,0.134322954,0.546125996,0.002679218,0.004996379,0.343301955,0.68,0.018,0.135,20,Small No Reviews
